Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,773,673,574,93,75,25,25,92,0,0
E:\alg\ot,6,773,673,574,93,75,25,25,92,0,0
E:\alg\ot\src,6,773,673,574,93,75,25,25,92,0,0
E:\alg\ot\src\octree,6,773,673,574,93,75,25,25,92,0,0
